itemset_id,item_id,score
6998,28322,4.678454034475156e-05
6998,34217,6.423226632390645e-05
6998,12058,6.199177448426926e-05
8941,10176,2.802964886551322e-05
8941,22364,0.00011141073579677081
8941,5654,1.8089914260629131e-06
11717,35384,0.0001397676471172923
11717,27447,0.003089025708281787
11717,23115,2.105737284067656e-05
18595,10434,0.0017511579773441402
18595,31432,0.005836913906200619
18595,494,0.00046584395813682456
18595,24743,8.573227194207015e-06
23064,12939,7.165082688162131e-05
23064,19379,4.224253055537971e-06
23064,23604,8.491771088866387e-06
23064,6349,2.618899413458271e-05
12477,41176,5.260793551624962e-05
12477,18616,0.0003035458374096756
12477,9739,6.605350405866445e-05
12477,31128,0.00010211563342216778
5972,17599,2.508058542768066e-05
5972,11280,0.000254775726795613
5972,19518,4.390822511640226e-05
23363,29213,1.7200821623501579e-06
23363,23345,7.922108936309913e-05
14918,18766,7.423725170546676e-06
14918,5567,0.00028252461907254353
19018,40090,0.0011190529044375673
19018,39831,0.0002923797257515703
19018,29057,1.4362269831661264e-05
25730,19896,0.00027095554630160456
25730,26337,1.74843462497546e-05
26182,38939,0.0008715847970916584
26182,35285,5.153501011245888e-05
13467,17126,1.6614250887156648e-05
13467,13144,0.0003391522021982986
17056,26359,4.71646948106763e-05
17056,29995,-7.952069269313273e-06
23672,19547,0.00013112920190949087
23672,28741,-1.4910347101408647e-07
23672,8197,0.00038495965181008023
4448,15682,1.9274941648113942e-06
4448,40676,2.2912174139048332e-05
16200,16134,0.00011270446312037149
16200,35774,2.662260289674723e-06
16200,7204,7.093924816380711e-05
16200,5588,0.0002198943151461007
20471,36773,4.247830254712018e-05
20471,36584,8.585479524225246e-05
20471,37061,2.040628362680876e-05
12215,10434,0.0017511579773441402
12215,31432,0.005836913906200619
12215,5151,1.249930344200407e-05
12215,17262,8.11129465925101e-05
23893,36911,5.84455410103752e-05
23893,41490,0.0001106096589652596
3532,7636,0.0001373326523721795
3532,1190,-1.7878781656030542e-06
17597,37790,3.564174183309053e-05
17597,10910,0.0001376524767221235
13331,23858,5.734825404152162e-05
13331,16926,0.002062896582873986
18225,35777,6.976985762124251e-05
18225,26961,1.540123762936756e-05
18225,20261,8.638790194198193e-05
18225,15255,0.00024179531255023341
20053,19844,8.736366089994988e-06
20053,26597,3.101948817240579e-06
20053,35360,0.0001354529511316164
20891,41206,1.1121551210349492e-05
20891,11447,0.0001285603212732214
18234,12177,0.0001352431398975276
18234,2908,2.3895381827944924e-05
11152,26625,0.0006759882493186825
11152,6968,2.5606186725204812e-05
11152,712,1.188535250962438e-05
18649,41585,0.0001746009023494457
18649,30580,0.00038107035876280333
18649,3306,0.00010041521176538212
18649,19809,5.201819650134279e-05
5651,19896,0.00027095554630160456
5651,38090,4.0514444460687186e-05
5651,15886,2.314433864983264e-05
25452,40309,6.680641738890718e-05
25452,7922,4.250336896118673e-05
25452,10873,1.8943068453454532e-05
25452,39519,1.9778844045090513e-05
7765,20569,4.109172730607747e-06
7765,20031,2.4458164795903393e-05
15632,30660,2.7653139071069965e-05
15632,24951,5.3714399689970575e-05
15632,24263,1.8152621028275634e-05
15632,24687,4.117995297251528e-05
20385,17589,7.916731540543934e-05
20385,5982,3.8762848641059416e-05
20385,15393,3.116823876233791e-05
20385,32026,3.13712286342407e-06
14895,10047,0.0001114897001369149
14895,16082,2.5084681698398193e-05
14895,8110,0.00016340149631629086
5296,22266,4.139582449125406e-05
5296,4311,2.4960777035846794e-05
5296,6966,1.4418841048118451e-05
25356,16598,0.00011955468869599062
25356,33752,3.259271380514911e-05
25356,35166,1.0206806851125923e-07
25356,15971,1.3371818845214002e-05
17896,39681,2.6222292051587047e-05
17896,13593,0.00013795436461299824
17896,35743,4.081630401592361e-05
22202,11646,5.2954522876605784e-05
22202,18767,4.09567991947231e-05
22202,41420,6.7745189483954405e-06
10108,5122,3.095002955343607e-05
10108,39880,0.0001106391917843195
10108,25123,0.00024391552668902674
10108,3843,5.09109424717031e-06
23293,37284,0.000414715925713934
23293,24529,1.7360402625700483e-05
23293,31815,0.00022426036947626788
13930,4234,1.66098305275756e-05
13930,6391,0.0003543375541411082
9092,22163,1.9729493988966544e-05
9092,13687,0.0002246992743463359
9092,34338,0.00598232152127657
9092,16669,7.072242385922915e-05
20716,14985,0.0011083355726194915
20716,25835,5.3651611457363846e-05
16154,12174,0.0001301622482511371
16154,7971,4.5224723667363954e-06
16154,18481,-2.2240651387982572e-05
16154,22242,1.5681333643381434e-05
867,31567,1.3313499674066713e-05
867,494,0.00046584395813682456
867,25300,8.71474511245284e-06
867,14958,8.087064677808704e-06
25300,5230,-6.398851807134544e-07
25300,9071,6.680691680453292e-06
25300,20527,8.921538069765217e-05
25300,34361,4.843284036578812e-06
956,25076,0.0006017113604826215
956,35258,2.140540177663328e-05
956,26785,2.991030289191548e-05
17761,24421,8.375490484005854e-05
17761,41076,-9.819828366549075e-07
17761,1606,3.929659997656112e-05
17761,32847,2.3784309667606768e-05
14071,15037,8.599825503721327e-06
14071,36182,5.4509664173667286e-05
17485,19090,0.0009831921326311419
17485,16689,8.48884897616257e-06
