8571,18506
8571,33644
8571,32627
5725,14855
5725,28037
5725,27903
16895,29962
16895,32334
16895,29247
16895,28189
16895,32035
9401,28348
9401,23532
9401,4412
26795,17208
26795,33199
26795,30085
26795,3230
18720,6651
18720,16472
18720,4805
18720,9701
16851,31482
16851,41434
16851,32888
16851,24930
352,37744
352,33234
352,27552
352,41295
1963,18082
1963,32135
1963,5164
1963,26858
1963,6651
1726,10590
1726,1217
1726,13610
1726,5982
2961,13722
2961,2472
2961,31013
2961,40663
431,8611
431,8562
431,1363
431,10637
431,32180
8788,2122
8788,24941
8788,35558
8788,15718
10881,35372
10881,38644
10881,5765
10881,16322
12434,39756
12434,41061
12434,28037
15473,27999
15473,10686
15473,19204
15473,5184
15473,35358
13959,24753
13959,37218
13959,29989
13959,573
24801,35634
24801,34716
24801,17382
5795,25574
5795,34505
5795,39860
5795,41543
25751,14985
25751,40541
25751,29798
25751,25402
25751,39787
6081,3219
6081,37339
6081,28955
6081,37770
18521,5195
18521,16349
18521,20895
18521,28189
18521,21651
26096,7840
26096,6968
26096,39768
26096,14926
22493,33646
22493,39360
22493,29508
22493,40796
10530,33815
10530,36553
10530,2926
27375,22811
27375,41992
27375,32979
27375,22624
27375,22118
20322,22775
20322,36646
20322,26324
20322,1795
25672,8968
25672,27439
25672,565
6935,12277
6935,27891
6935,39871
6935,24295
6935,4986
18313,27567
18313,25076
18313,1535
18313,2335
18313,21404
12326,2338
12326,23998
12326,35320
12326,25464
19014,42316
19014,15726
19014,4978
11763,31220
11763,34338
11763,14190
11763,34909
932,20480
932,10204
932,11382
932,33944
20493,13770
20493,13125
20493,3868
20493,113
20493,19472
11384,19547
11384,199
11384,13333
11384,23894
7449,6056
7449,27447
7449,16926
7449,15573
7449,38938
3885,19674
3885,30003
3885,7182
3885,6510
26841,1044
26841,26641
26841,4026
4006,42035
4006,27197
4006,39426
26104,13091
26104,36752
26104,8635
26104,13835
10322,28013
10322,37664
10322,10363
18317,40979
18317,21079
18317,8197
12347,21860
12347,2278
12347,21150
12347,17341
13213,22564
13213,2855
13213,24035
13213,14233
27030,29314
27030,9601
27030,8596
10759,22521
10759,18785
10759,12254
3732,36092
3732,17459
3732,16675
3732,15765
3732,31403
24767,5309
24767,8515
24767,24641
24767,4011
24767,35971
892,38609
892,13476
892,19103
892,26234
755,31818
755,40953
755,39833
755,15343
6915,23676
6915,34420
6915,4590
6915,23346
23344,15714
23344,17347
23344,27760
4241,31432
4241,35511
4241,17495
4241,32507
4241,40307
10412,31759
10412,3489
10412,8225
10412,16495
26677,3697
26677,1214
26677,10249
26677,20991
26677,5544
3389,19896
3389,11033
3389,38056
3389,32592
3389,39891
12165,16646
12165,1801
12165,719
12165,11504
12165,5747
7638,41401
7638,28004
7638,4851
7638,4464
24969,14419
24969,29274
24969,15614
13465,10418
13465,42299
13465,19865
13465,18268
8473,37437
8473,773
8473,9068
8473,8203
14210,31754
14210,18017
14210,15828
22663,2993
22663,16733
22663,13126
22663,678
5450,31329
5450,37342
5450,28603
5450,9338
1633,11195
1633,24295
1633,20109
1633,36338
12801,7358
12801,29333
12801,34404
12801,9374
12801,28837
22537,21499
22537,16806
22537,15010
18647,32785
18647,34345
18647,32980
18647,18551
26605,36721
26605,13876
26605,36026
26605,6941
24540,24767
24540,10851
24540,38871
24540,15993
16630,27562
16630,37127
16630,41779
16630,8525
19155,41079
19155,30477
19155,14598
19155,27294
13008,23260
13008,21385
13008,33623
13008,14084
11196,14848
11196,18191
11196,14762
25548,26157
25548,32842
25548,19901
20267,26655
20267,36729
20267,33837
20267,291
21494,24034
21494,2592
21494,31517
21494,6902
21494,1520
4317,25544
4317,11421
4317,31199
1264,40038
1264,5431
1264,21059
1264,30139
1264,41196
12987,15063
12987,8086
12987,11983
12987,9254
2829,12648
2829,25397
2829,33367
2829,34338
9493,30231
9493,32756
9493,39432
9456,13979
9456,31432
9456,32265
9456,27999
22708,16677
22708,13417
22708,41899
12400,28431
12400,11603
12400,32481
12400,17525
12400,27404
20722,7723
20722,12481
20722,10936
20722,35320
20722,40137
9915,8134
9915,9684
9915,9621
9915,18292
11008,36656
11008,466
11008,23261
547,31977
547,42511
547,2478
5927,15698
5927,7377
5927,8398
5927,4460
5927,33673
11378,34296
11378,23067
11378,4667
4256,42201
4256,13444
4256,4614
4256,41212
4256,15255
11649,20421
11649,13137
11649,19406
11649,10354
11649,40844
15452,33690
15452,18756
15452,24658
15452,29189
3927,7888
3927,25378
3927,30197
19940,40713
19940,10697
19940,7310
19940,41965
19940,33097
5295,21056
5295,24064
5295,1177
1284,28834
1284,7205
1284,7377
1284,20538
1284,7313
8013,18192
8013,6777
8013,39863
8013,4134
8013,25194
19434,31426
19434,39635
19434,34889
19434,28293
5375,30002
5375,5130
5375,6890
18057,8654
18057,6452
18057,17833
26233,1734
26233,36047
26233,1642
26233,16970
26233,22684
25708,24790
25708,33714
25708,32239
25708,32814
7402,7876
7402,27447
7402,17661
7402,13981
24263,17396
24263,36508
24263,676
24263,34584
4848,19321
4848,16728
4848,22375
23666,18856
23666,34338
23666,9479
15954,25577
15954,35359
15954,23299
14116,33237
14116,25554
14116,3047
14116,6793
6889,8943
6889,14190
6889,27796
24933,7308
24933,22392
24933,39852
24933,42389
24933,28950
21772,39291
21772,8705
21772,36606
11984,30505
11984,1824
11984,32905
11984,19051
11984,14981
11932,11750
11932,12184
11932,9823
11932,18433
11932,7265
27677,13806
27677,6391
27677,23459
27677,7215
21352,30709
21352,25595
21352,9810
19709,26660
19709,13325
19709,29197
16330,23498
16330,14498
16330,14254
25027,5527
25027,14985
25027,24115
791,36144
791,40665
791,26940
25896,14462
25896,25099
25896,23904
2898,29651
2898,34674
2898,23416
10564,38517
10564,17961
10564,21301
10564,36064
14044,33666
14044,34235
14044,11114
13816,42556
13816,27685
13816,41403
13816,35557
13816,2096
6429,25194
6429,2607
6429,3623
21135,20357
21135,1675
21135,4921
21135,860
7356,13492
7356,36739
7356,22082
7356,19295
7453,22224
7453,4481
7453,36495
25459,39101
25459,42547
25459,26611
25459,39212
25459,15963
17413,37209
17413,22461
17413,34232
17413,23514
16441,20024
16441,3680
16441,739
16441,2197
18757,26636
18757,851
18757,39705
13408,17663
13408,16082
13408,20896
5171,39932
5171,12079
5171,41585
5171,1867
20866,38272
20866,6555
20866,17560
1741,2473
1741,17052
1741,10180
1741,16419
1364,458
1364,9636
1364,28629
1364,1554
5733,12385
5733,24864
5733,24268
5733,23857
7439,16071
7439,21462
7439,605
6927,34176
6927,2797
6927,41475
6927,4440
19037,23603
19037,31305
19037,39013
19037,18785
7938,20565
7938,13791
7938,6173
7938,30647
7938,40256
